branch_code,ward_no,ward_name
AB,1,Etobicoke North
ACD,20,Scarborough Southwest
AD,3,Etobicoke-Lakeshore
AG,22,Scarborough-Agincourt
AH,8,Eglinton-Lawrence
AN,4,Parkdale-High Park
AP,5,York South-Weston
BB,16,Don Valley East
BC,7,Humber River-Black Creek
BD,21,Scarborough Centre
BE,19,Beaches-East York
BF,8,Eglinton-Lawrence
BL,9,Davenport
BR,3,Etobicoke-Lakeshore
BRW,22,Scarborough-Agincourt
BUR,23,Scarborough North
CC,20,Scarborough Southwest
CE,6,York Centre
CED,24,Scarborough-Guildwood
CH,10,Spadina-Fort York
CL,18,Willowdale
CS,11,University-Rosedale
DA,19,Beaches-East York
DM,16,Don Valley East
DO,6,York Centre
DP,12,Toronto-St. Paul's
DR,19,Beaches-East York
DT,12,Toronto-St. Paul's
DU,9,Davenport
EA,2,Etobicoke Centre
EB,2,Etobicoke Centre
EG,5,York South-Weston
EN,17,Don Valley North
ES,20,Scarborough Southwest
FH,8,Eglinton-Lawrence
FO,10,Spadina-Fort York
FP,16,Don Valley East
FV,17,Don Valley North
GE,14,Toronto-Danforth
GHP,23,Scarborough North
GW,24,Scarborough-Guildwood
HB,3,Etobicoke-Lakeshore
HC,25,Scarborough-Rouge Park
HIL,17,Don Valley North
HP,4,Parkdale-High Park
HS,7,Humber River-Black Creek
HW,1,Etobicoke North
JD,4,Parkdale-High Park
JO,14,Toronto-Danforth
JS,7,Humber River-Black Creek
KE,21,Scarborough Centre
LB,3,Etobicoke-Lakeshore
LE,15,Don Valley West
LO,15,Don Valley West
LS,11,University-Rosedale
MA,19,Beaches-East York
MAL,25,Scarborough-Rouge Park
MAS,12,Toronto-St. Paul's
MCG,21,Scarborough Centre
MD,5,York South-Weston
MI,3,Etobicoke-Lakeshore
MP,15,Don Valley West
MRV,21,Scarborough Centre
MS,25,Scarborough-Rouge Park
ND,8,Eglinton-Lawrence
NE,1,Etobicoke North
NT,3,Etobicoke-Lakeshore
OV,12,Toronto-St. Paul's
PA,14,Toronto-Danforth
PE,9,Davenport
PK,4,Parkdale-High Park
PL,13,Toronto Centre
PM,11,University-Rosedale
PU,25,Scarborough-Rouge Park
PV,17,Don Valley North
QS,14,Toronto-Danforth
RD,14,Toronto-Danforth
RI,2,Etobicoke Centre
RN,4,Parkdale-High Park
RX,1,Etobicoke North
SA,10,Spadina-Fort York
SC,21,Scarborough Centre
SI,9,Davenport
SJ,13,Toronto Centre
SL,13,Toronto Centre
SP,11,University-Rosedale
ST,22,Scarborough-Agincourt
SW,4,Parkdale-High Park
SWS,14,Toronto-Danforth
TA,20,Scarborough Southwest
TH,15,Don Valley West
TOD,14,Toronto-Danforth
TRL,11,University-Rosedale
VV,16,Don Valley East
WE,5,York South-Weston
WP,7,Humber River-Black Creek
WS,23,Scarborough North
WY,12,Toronto-St. Paul's
YO,11,University-Rosedale
YW,7,Humber River-Black Creek
