year,branch_code,circulation
2018,AB,328536
2018,ACD,303855
2018,AD,155864
2018,AG,623148
2018,AH,214013
2018,AN,201476
2018,AP,85101
2018,BB,156836
2018,BC,86179
2018,BD,122497
2018,BE,289818
2018,BF,503402
2018,BL,369252
2018,BR,418716
2018,BRW,419149
2018,BUR,123742
2018,CC,137460
2018,CE,297665
2018,CED,394326
2018,CH,273173
2018,CL,764881
2018,CS,182356
2018,DA,269855
2018,DM,545675
2018,DO,185960
2018,DP,401466
2018,DR,162061
2018,DT,131944
2018,DU,169416
2018,EA,463951
2018,EB,125978
2018,EG,62447
2018,EN,429168
2018,ES,204647
2018,FH,181125
2018,FO,227453
2018,FP,103736
2018,FV,683924
2018,GE,171810
2018,GHP,202870
2018,GW,97265
2018,HB,156811
2018,HC,145360
2018,HIL,298415
2018,HP,302244
2018,HS,53901
2018,HW,55565
2018,JD,269642
2018,JO,160471
2018,JS,81754
2018,KE,130416
2018,LB,130359
2018,LE,344926
2018,LO,349360
2018,LS,322224
2018,MA,242978
2018,MAL,312335
2018,MAS,201845
2018,MCG,158704
2018,MD,104754
2018,MI,172926
2018,MP,153772
2018,MRV,162654
2018,MS,152677
2018,ND,432317
2018,NE,66929
2018,NT,128546
2018,OV,133088
2018,PA,374726
2018,PE,94768
2018,PK,324230
2018,PL,191193
2018,PM,189682
2018,PU,202041
2018,PV,157096
2018,QS,111106
2018,RD,223472
2018,RI,540718
2018,RN,421173
2018,RX,66414
2018,SA,178416
2018,SC,172722
2018,SI,4239
2018,SJ,221964
2018,SL,216375
2018,SP,173509
2018,ST,114108
2018,SW,40102
2018,SWS,399144
2018,TA,104908
2018,TH,152062
2018,TOD,47739
2018,TRL,394068
2018,VV,87550
2018,WE,116159
2018,WP,71530
2018,WS,312597
2018,WY,115280
2018,YO,255993
2018,YW,181002
2019,AB,300374
2019,ACD,219561
2019,AD,147747
2019,AG,562590
2019,AH,213427
2019,AN,201398
2019,AP,86154
2019,BB,151891
2019,BC,79871
2019,BD,114383
2019,BE,287323
2019,BF,482673
2019,BL,372794
2019,BR,409868
2019,BRW,346131
2019,BUR,123257
2019,CC,155449
2019,CE,270126
2019,CED,374943
2019,CH,270410
2019,CL,995148
2019,CS,189401
2019,DA,273555
2019,DM,472171
2019,DO,122726
2019,DP,415115
2019,DR,151755
2019,DT,138693
2019,DU,169397
2019,EA,441050
2019,EB,120847
2019,EG,64150
2019,EN,397779
2019,ES,202898
2019,FH,172300
2019,FO,230898
2019,FP,98375
2019,FV,638738
2019,GE,167483
2019,GHP,194589
2019,GW,47291
2019,HB,160861
2019,HC,135525
2019,HIL,281722
2019,HP,338769
2019,HS,51847
2019,HW,50965
2019,JD,267037
2019,JO,154766
2019,JS,93852
2019,KE,122499
2019,LB,128543
2019,LE,330924
2019,LO,335761
2019,LS,273328
2019,MA,252545
2019,MAL,291620
2019,MAS,178398
2019,MCG,152135
2019,MD,89270
2019,MI,167353
2019,MP,155612
2019,MRV,148594
2019,MS,156566
2019,ND,420227
2019,NE,62927
2019,NT,122517
2019,OV,142126
2019,PA,359576
2019,PE,97542
2019,PK,204819
2019,PL,101464
2019,PM,194833
2019,PU,200031
2019,PV,168874
2019,QS,103936
2019,RD,225704
2019,RI,556421
2019,RN,426354
2019,RX,69288
2019,SA,171106
2019,SC,172072
2019,SI,14047
2019,SJ,248646
2019,SL,220519
2019,SP,172880
2019,ST,198868
2019,SW,41280
2019,SWS,389780
2019,TA,103046
2019,TH,138280
2019,TOD,55877
2019,TRL,375830
2019,VV,87183
2019,WE,108961
2019,WP,60941
2019,WS,290873
2019,WY,14190
2019,YO,251808
2019,YW,134944
2020,AB,126586
2020,ACD,12976
2020,AD,36256
2020,AG,266625
2020,AH,64139
2020,AN,106555
2020,AP,38630
2020,BB,87211
2020,BC,22006
2020,BD,52748
2020,BE,144929
2020,BF,252244
2020,BL,201595
2020,BR,237555
2020,BRW,90230
2020,BUR,29631
2020,CC,83210
2020,CE,142566
2020,CED,151216
2020,CH,65935
2020,CL,454082
2020,CS,107163
2020,DA,158261
2020,DM,250437
2020,DO,57064
2020,DP,196534
2020,DR,96246
2020,DT,35733
2020,DU,109802
2020,EA,225948
2020,EB,59378
2020,EG,25521
2020,EN,140088
2020,ES,63514
2020,FH,108414
2020,FO,118480
2020,FP,31643
2020,FV,302231
2020,GE,54932
2020,GHP,85080
2020,GW,51998
2020,HB,43315
2020,HC,65639
2020,HIL,155417
2020,HP,159632
2020,HS,22677
2020,HW,14847
2020,JD,136480
2020,JO,85172
2020,JS,46122
2020,KE,60245
2020,LB,79922
2020,LE,192613
2020,LO,177203
2020,LS,148317
2020,MA,136340
2020,MAL,124229
2020,MAS,75572
2020,MCG,77049
2020,MD,39678
2020,MI,96529
2020,MP,39179
2020,MRV,36625
2020,MS,100102
2020,ND,218795
2020,NE,40990
2020,NT,50501
2020,OV,79771
2020,PA,174872
2020,PE,26668
2020,PK,158296
2020,PL,107691
2020,PM,147392
2020,PU,49387
2020,PV,88899
2020,QS,26002
2020,RD,123931
2020,RI,260967
2020,RN,238495
2020,RX,19791
2020,SA,67177
2020,SC,75354
2020,SI,15409
2020,SJ,52790
2020,SL,120344
2020,SP,52033
2020,ST,101547
2020,SW,12110
2020,SWS,211230
2020,TA,72986
2020,TH,66087
2020,TOD,13900
2020,TRL,201399
2020,VV,33155
2020,WE,51331
2020,WP,28476
2020,WS,78857
2020,WY,5174
2020,YO,70318
2020,YW,26964
2021,AB,155096
2021,ACD,28134
2021,AD,48728
2021,AG,326570
2021,AH,105018
2021,AN,149040
2021,AP,41849
2021,BB,111742
2021,BC,19013
2021,BD,63449
2021,BE,183234
2021,BF,293635
2021,BL,259208
2021,BR,323591
2021,BRW,116119
2021,BUR,20539
