branch_code,year,visits
AB,2018,327977
ACD,2018,340522
AD,2018,100886
AG,2018,368837
AH,2018,73829
AN,2018,102239
AP,2018,51242
BB,2018,73308
BC,2018,98278
BD,2018,51489
BE,2018,207052
BF,2018,246900
BL,2018,369395
BR,2018,257933
BRW,2018,434621
BUR,2018,81913
CC,2018,65876
CE,2018,157112
CED,2018,355089
CH,2018,197005
CL,2018,830485
CS,2018,101932
DA,2018,169976
DM,2018,253090
DO,2018,231580
DP,2018,289666
DR,2018,89637
DT,2018,37506
DU,2018,111761
EA,2018,232419
EB,2018,45807
EG,2018,46693
EN,2018,202545
ES,2018,251189
FH,2018,113245
FO,2018,190668
FP,2018,139776
FV,2018,546827
GE,2018,99576
GHP,2018,164412
GW,2018,57017
HB,2018,44973
HC,2018,57664
HIL,2018,116494
HP,2018,200533
HS,2018,35770
HW,2018,101360
JD,2018,154666
JO,2018,78623
JS,2018,83508
KE,2018,81014
LB,2018,53829
LE,2018,162265
LO,2018,206804
LS,2018,327094
MA,2018,122506
MAL,2018,294944
MAS,2018,216570
MCG,2018,122591
MD,2018,80819
MI,2018,91352
MP,2018,62333
MRV,2018,137412
MS,2018,102939
ND,2018,373362
NE,2018,33315
NT,2018,55870
OV,2018,98891
PA,2018,230567
PE,2018,55219
PK,2018,333245
PL,2018,225922
PM,2018,103023
PU,2018,84874
PV,2018,66616
QS,2018,68578
RD,2018,180916
RI,2018,275100
RN,2018,284820
RX,2018,40274
SA,2018,223279
SC,2018,191703
SJ,2018,157596
SL,2018,117556
SP,2018,85974
ST,2018,55838
SW,2018,20826
SWS,2018,259975
TA,2018,34784
TH,2018,194581
TOD,2018,28888
TRL,2018,1594315
VV,2018,42043
WE,2018,91230
WP,2018,58068
WS,2018,373195
WY,2018,62229
YO,2018,137585
YW,2018,170623
AB,2019,337559
ACD,2019,229609
AD,2019,100412
AG,2019,356784
AH,2019,72816
AN,2019,97246
AP,2019,56893
BB,2019,77106
BC,2019,107777
BD,2019,48541
BE,2019,198067
BF,2019,235589
BL,2019,363692
BR,2019,205226
BRW,2019,404356
BUR,2019,85122
CC,2019,67906
CE,2019,134067
CED,2019,355086
CH,2019,202935
CL,2019,1398539
CS,2019,103210
DA,2019,166953
DM,2019,212850
DO,2019,139493
DP,2019,280295
DR,2019,88804
DT,2019,36185
DU,2019,109667
EA,2019,225560
EB,2019,45225
EG,2019,43655
EN,2019,171685
ES,2019,261247
FH,2019,107435
FO,2019,196094
FP,2019,157505
FV,2019,514987
GE,2019,100212
GHP,2019,153844
GW,2019,26595
HB,2019,47611
HC,2019,56329
HIL,2019,110800
HP,2019,217479
HS,2019,40175
HW,2019,94909
JD,2019,158197
JO,2019,75303
JS,2019,89668
KE,2019,75312
LB,2019,55632
LE,2019,157656
LO,2019,204120
LS,2019,262069
MA,2019,118568
MAL,2019,275220
MAS,2019,210369
MCG,2019,120802
MD,2019,77877
MI,2019,85449
MP,2019,61718
MRV,2019,126402
MS,2019,109795
ND,2019,357327
NE,2019,32994
NT,2019,53786
OV,2019,99154
PA,2019,215656
PE,2019,52157
PK,2019,181068
PL,2019,98771
PM,2019,104919
PU,2019,82062
PV,2019,73267
QS,2019,69777
RD,2019,180229
RI,2019,298478
RN,2019,291820
RX,2019,39099
SA,2019,228261
SC,2019,197245
SI,2019,10366
SJ,2019,182887
SL,2019,133158
SP,2019,85425
ST,2019,162606
SW,2019,23836
SWS,2019,247041
TA,2019,26401
TH,2019,183994
TOD,2019,34029
TRL,2019,1507185
VV,2019,42414
WE,2019,93178
WP,2019,65661
WS,2019,362674
YO,2019,134385
YW,2019,134259
AB,2020,83718
ACD,2020,1607
AD,2020,20644
AG,2020,81923
AH,2020,16702
AN,2020,47198
AP,2020,19491
BB,2020,35675
BC,2020,26946
BD,2020,20062
