ward_no,year,ward_total
1,2018,517444
1,2019,483554
1,2020,202214
1,2021,243070
1,2022,321187
2,2018,1130647
2,2019,1118318
2,2020,546293
2,2021,714067
2,2022,834347
3,2018,1163222
3,2019,1136889
3,2020,544078
3,2021,716354
3,2022,850214
4,2018,1558867
4,2019,1479657
4,2020,811568
4,2021,1042123
4,2022,1190959
5,2018,368461
5,2019,348535
5,2020,155160
5,2021,184843
5,2022,240426
6,2018,483625
6,2019,392852
6,2020,199630
6,2021,282001
6,2022,337181
7,2018,474366
7,2019,421455
7,2020,146245
7,2021,157177
7,2022,216794
8,2018,1330857
8,2019,1288627
8,2020,643592
8,2021,817964
8,2022,962926
9,2018,637675
9,2019,653780
9,2020,353474
9,2021,452598
9,2022,549359
10,2018,679042
10,2019,672414
10,2020,251592
10,2021,249347
10,2022,351665
11,2018,1517832
11,2019,1458080
11,2020,726622
11,2021,896566
11,2022,1004704
12,2018,983623
12,2019,888522
12,2020,392784
12,2021,481936
12,2022,643422
13,2018,629532
13,2019,570629
13,2020,280825
13,2021,333202
13,2022,404792
14,2018,1488468
14,2019,1457122
14,2020,690039
14,2021,933435
14,2022,1080588
15,2018,1000120
15,2019,960577
15,2020,475082
15,2021,596592
15,2022,547472
16,2018,893797
16,2019,809620
16,2020,402446
16,2021,533543
16,2022,652347
17,2018,1568603
17,2019,1487113
17,2020,686635
17,2021,861258
17,2022,1008566
18,2018,764881
18,2019,995148
18,2020,454082
18,2021,557517
18,2022,732038
19,2018,964712
19,2019,965178
19,2020,535776
19,2021,701420
19,2022,761860
20,2018,750870
20,2019,680954
20,2020,232686
20,2021,300764
20,2022,416645
21,2018,746993
21,2019,709683
21,2020,302021
21,2021,375054
21,2022,470932
22,2018,1156405
22,2019,1107589
22,2020,458402
22,2021,575975
22,2022,730870
23,2018,639209
23,2019,608719
23,2020,193568
23,2021,250913
23,2022,358912
24,2018,491591
24,2019,422234
24,2020,203214
24,2021,231215
24,2022,300476
25,2018,812413
25,2019,783742
25,2020,339357
25,2021,449431
25,2022,551787
